granule_uid,obs_id,mass,period,semi_major_axis,star_spec_type,detection_type,star_distance,radius
Kepler-18 d,1006,0.052,14.85888,0.1172,,Primary Transit,438.51,0.623
Kepler-19 b,937,0.02643,9.28716,0.085,,Primary Transit,219.95,0.198
Kepler-19 c,938,0.04122,28.731,,,TTV,219.95,
Kepler-19 d,6553,0.07079,62.95,,,Radial Velocity,219.95,
Kepler-197 c,1641,0.017,10.349695,0.09,,Primary Transit,333.75,0.11
Kepler-20 b,1032,0.03052,3.69611525,0.0463,G8,Primary Transit,284.88,0.167
Kepler-20 c,1033,0.04012,10.85409089,0.0949,G8,Primary Transit,284.88,0.272
Kepler-20 d,1034,0.03168,77.61130017,0.3506,G8,Primary Transit,284.88,0.245
Kepler-20 e,1035,0.0097,6.09852281,0.0639,G8,Primary Transit,284.88,0.077
Kepler-20 f,1036,0.045,19.57758478,0.1396,G8,Primary Transit,284.88,0.089
Kepler-21 b,1026,0.01598,2.78578,0.042717,F6 IV,Primary Transit,108.86,0.146
Kepler-22 b,1029,0.113,289.8623,0.849,G5 V,Primary Transit,190.0,0.212
Kepler-223 b,1705,0.02328,7.38449,0.073,,Primary Transit,1960.49,0.267
Kepler-223 c,1706,0.01605,9.84564,0.088,,Primary Transit,1960.49,0.307
Kepler-223 d,1707,0.02517,14.78869,0.116,,Primary Transit,1960.49,0.467
Kepler-223 e,1708,0.0151,19.72567,0.14,,Primary Transit,1960.49,0.41
Kepler-23 b,1071,0.8,7.1073,0.075,,Primary Transit,856.34,0.17
Kepler-23 c,1072,2.7,10.7421,0.099,,Primary Transit,856.34,0.285
Kepler-23 d,1075,0.055,15.274299,0.124,,Primary Transit,856.34,0.196
Kepler-238 e,1352,0.534,23.654,,,Primary Transit,1897.73,0.5
Kepler-238 f,1353,0.042,50.447,,,Primary Transit,1897.73,0.178
Kepler-24 b,1073,1.6,8.1453,0.08,,Primary Transit,1195.99,0.214
Kepler-24 c,1074,1.6,12.3335,0.106,,Primary Transit,1195.99,0.25
Kepler-25 b,1077,0.0275,6.238297,0.068,,Primary Transit,244.96,0.245
Kepler-25 c,1076,0.0479,12.7207,0.11,,Primary Transit,244.96,0.465
Kepler-25 d,1494,0.226,122.4,,,Radial Velocity,244.96,
Kepler-26 b,1078,0.01611,12.28,0.085,M0 V,Primary Transit,338.55,0.248
Kepler-26 c,1079,0.01951,17.2559,0.107,M0 V,Primary Transit,338.55,0.243
Kepler-27 b,1081,9.11,15.3348,0.118,,Primary Transit,1075.1,0.357
Kepler-27 c,1082,13.8,31.3309,0.191,,Primary Transit,1075.1,0.437
Kepler-276 c,1354,0.052,31.884,,,Primary Transit,1181.73,0.259
Kepler-276 d,1355,0.051,48.648,,,Primary Transit,1181.73,0.25
Kepler-277 b,1356,0.275,17.324,,,Primary Transit,1004.88,0.261
Kepler-277 c,1357,0.202,33.006,,,Primary Transit,1004.88,0.3
Kepler-278 b,1839,0.176,30.160546,0.207,,Primary Transit,448.65,0.363
Kepler-278 c,1840,0.1098,51.078775,0.294,,Primary Transit,448.65,0.32
Kepler-279 c,1358,0.155,35.736,0.232,,Primary Transit,1069.2,0.384
Kepler-279 d,1359,0.118,54.414,0.30728,,Primary Transit,1069.2,0.277
Kepler-28 b,1083,1.51,5.9123,0.062,M0 V,Primary Transit,443.92,0.321
Kepler-28 c,1084,1.36,8.9858,0.081,M0 V,Primary Transit,443.92,0.303
Kepler-282 d,1360,0.192,24.806,,,Primary Transit,1390.97,0.219
Kepler-282 e,1361,0.177,44.347,,,Primary Transit,1390.97,0.277
Kepler-289 b,1863,0.023,34.545,0.21,,Primary Transit,700.0,0.192
Kepler-289 c,1864,0.42,125.8518,0.51,,Primary Transit,700.0,1.034
Kepler-289 d,2567,0.013,66.0634,0.33,,Primary Transit,700.0,0.239
Kepler-29 b,1062,0.01573,10.33974,0.09,,Primary Transit,851.9,0.227
Kepler-29 c,1063,0.01416,13.28613,0.11,,Primary Transit,851.9,0.209
Kepler-30 b,1064,0.036,29.33434,0.18,,Primary Transit,938.33,0.348
Kepler-30 c,1065,2.01,60.323105,0.3,,Primary Transit,938.33,1.097
Kepler-30 d,1066,0.073,143.34394,0.5,,Primary Transit,938.33,0.785
Kepler-305 b,1362,0.033,5.487,0.05856,,Primary Transit,889.64,0.321
Kepler-305 c,1363,0.019,8.291,0.07711,,Primary Transit,889.64,0.294
Kepler-307 b,1364,0.02341,10.4208,,,Primary Transit,585.27,0.217
Kepler-307 c,1365,0.01145,13.0729,,,Primary Transit,585.27,0.196
Kepler-31 c,1068,4.7,42.6318,0.26,,Primary Transit,1747.58,0.473
Kepler-31 d,2217,6.8,87.6451,0.4,,Primary Transit,1747.58,0.348
Kepler-32 b,1069,4.1,5.90124,0.05,M1 V,Primary Transit,326.85,0.196
Kepler-32 c,1070,0.5,8.7522,0.09,M1 V,Primary Transit,326.85,0.178
Kepler-328 b,1366,0.09,34.921,,,Primary Transit,2354.42,0.205
Kepler-328 c,1367,0.124,71.312,,,Primary Transit,2354.42,0.482
Kepler-338 b,1928,0.0963,13.726976,0.117,,Primary Transit,561.69,0.218
Kepler-338 e,2530,0.027,9.341,,,TTV,561.69,0.139
Kepler-34 (AB) b,1042,0.22,288.822,1.0896,G,Primary Transit,1499.0,0.7637
Kepler-35 (AB) b,1043,0.1268,131.458,0.60347,G,Primary Transit,1645.0,0.728
Kepler-350 c,1368,0.019,17.849,,,Primary Transit,983.79,0.277
Kepler-350 d,1369,0.047,26.136,,,Primary Transit,983.79,0.25
Kepler-36 b,1199,0.01205,13.86825,0.1153,,Primary Transit,470.0,0.134
Kepler-36 c,1200,0.02243,16.21865,0.1283,,Primary Transit,470.0,0.328
Kepler-37 b,1271,0.01,13.36731,0.1003,,Primary Transit,64.04,0.026
Kepler-37 c,1272,0.03776,21.302,0.1368,,Primary Transit,64.04,0.067
Kepler-37 d,1273,0.017,39.7922,0.2109,,Primary Transit,64.04,0.173
Kepler-38 (AB) b,1178,0.38,105.595,0.4644,,Primary Transit,,0.39
Kepler-391 c,2045,1.416,20.485435,0.161,,Primary Transit,891.53,0.316
Kepler-396 b,1372,0.238,42.994,0.36709,,Primary Transit,225.19,0.312
Kepler-396 c,1373,0.056,88.505,0.22662,,Primary Transit,225.19,0.473
Kepler-4 b,631,0.077,3.21346,0.0456,G0,Primary Transit,550.0,0.357
Kepler-40 b,799,2.2,6.87349,0.08,F5 IV,Primary Transit,2700.0,1.17
Kepler-406 b,2486,0.02,2.42629,,,Primary Transit,367.86,0.128
Kepler-406 c,2487,0.009,4.62332,,,Primary Transit,367.86,0.076
Kepler-407 b,6907,0.01007,0.66931,,,Primary Transit,341.69,0.095
Kepler-407 c,6906,12.6,3000.0,,,Radial Velocity,341.69,
Kepler-408 b,2543,0.01573,2.46502,,,Primary Transit,89.01,0.073
Kepler-409 b,2542,0.06922,68.9584,,,Primary Transit,68.31,0.106
Kepler-41 b,872,0.56,1.8555582,0.03101,G2 V,Primary Transit,1128.11,1.29
Kepler-411 b,1407,0.08055,3.005156,0.0375,K2 V,Primary Transit,153.59,0.214
Kepler-411 c,3210,0.08306,7.834435,0.0739,K2 V,Primary Transit,153.59,0.394
Kepler-411 d,7030,0.04782,58.02035,0.279,K2 V,Primary Transit,153.59,0.296
Kepler-411 e,7031,0.03398,31.509728,0.186,K2 V,TTV,153.59,
Kepler-412 b,1514,0.941,1.7208604,0.02897,G3 V,Primary Transit,1121.32,1.341
Kepler-413 (AB) b,1416,0.211,66.262,0.3553,,Primary Transit,,0.3881
Kepler-414 b,7368,0.011,4.7,,,TTV,418.44,0.153
Kepler-414 c,7369,0.094,7.171,,,TTV,418.44,0.269
Kepler-415 b,7370,0.377,4.176,,,TTV,538.39,0.108
Kepler-416 b,7372,0.183,6.319,,,TTV,704.76,0.221
Kepler-417 b,7374,0.035,12.331,,,TTV,999.47,0.206
Kepler-418 b,2287,1.1,86.67856,,,Primary Transit,1031.92,1.2
Kepler-419 b,1197,2.5,69.7546,0.37,,Primary Transit,1041.31,0.96
Kepler-419 c,2302,7.3,675.47,1.68,,TTV,1041.31,
Kepler-42 b,1039,0.009,1.2137672,0.0116,M,Primary Transit,38.7,0.07
Kepler-42 c,1040,0.006,0.45328509,0.006,M,Primary Transit,38.7,0.065
Kepler-42 d,1041,0.003,1.865169,0.0154,M,Primary Transit,38.7,0.051
Kepler-422 b,2312,0.43,7.8914483,0.082,,Primary Transit,738.2,1.15
Kepler-423 b,2311,0.595,2.6843285,0.03585,G4 V,Primary Transit,725.0,1.192
Kepler-424 b,2309,1.03,3.3118644,0.044,,Primary Transit,712.87,0.89
Kepler-425 b,2313,0.25,3.79701816,0.0464,K1 V,Primary Transit,650.0,0.978
Kepler-426 b,2314,0.34,3.21751883,0.0414,G1 V,Primary Transit,880.0,1.09
Kepler-427 b,2315,0.29,10.290994,0.091,G2 V,Primary Transit,1100.0,1.23
Kepler-428 b,2316,1.27,3.52563254,0.0433,K1 V,Primary Transit,720.0,1.08
Kepler-43 b,1007,3.23,3.0240949,0.046,F8 V,Primary Transit,1035.9,1.219
Kepler-432 b,2326,5.41,52.501129,0.301,K2III,Primary Transit,870.0,1.145
Kepler-433 b,1130,2.82,5.33408384,0.0679,,Primary Transit,1870.0,1.45
Kepler-434 b,4084,2.86,12.8747099,0.1143,,Primary Transit,1240.0,1.13
Kepler-435 b,1131,0.84,8.6001536,0.0948,,Primary Transit,2070.0,1.99
Kepler-44 b,1008,1.0,3.2467293,0.0446,G2 IV,Primary Transit,1229.15,1.09
Kepler-445 b,2353,0.02,2.984151,,M4,Primary Transit,90.0,0.14
Kepler-445 c,2354,0.027,4.871229,,M4,Primary Transit,90.0,0.22
Kepler-445 d,2355,0.011,8.15275,,M4,Primary Transit,90.0,0.11
Kepler-446 b,2356,0.014,1.565409,,M4,Primary Transit,120.0,0.13
Kepler-446 c,2357,0.009,3.036179,,M4,Primary Transit,120.0,0.1
Kepler-446 d,2358,0.01,5.148921,,M4,Primary Transit,120.0,0.12
Kepler-447 b,2373,1.37,7.79430132,0.0769,G8 V,Primary Transit,270.12,1.65
Kepler-45 b,1028,0.505,2.455239,0.03,M,Primary Transit,333.0,0.96
Kepler-453 (AB) b,2303,0.03,240.503,,,Primary Transit,,0.55
Kepler-454 b,2495,0.01905,10.57,0.0954,,Primary Transit,232.41,0.21
Kepler-46 b,1107,6.0,33.60134,0.1968,,Primary Transit,794.54,0.808
Kepler-46 c,1108,0.376,57.011,0.2799,,TTV,794.54,
Kepler-462 b,2446,0.16959,84.6866,,,Primary Transit,598.0,0.268
Kepler-462 c,2447,0.01888,207.62,,,Primary Transit,598.0,0.357
Kepler-47 (AB) d,1469,0.05984,187.35,0.6992,,Pulsar,,0.6281
Kepler-48 b,1146,0.0124,4.778,,,Primary Transit,309.47,0.168
Kepler-48 c,1147,0.04597,9.67395,,,Primary Transit,309.47,0.242
Kepler-48 d,1496,0.025,42.8961,,,Primary Transit,309.47,0.182
Kepler-48 e,1497,2.067,982.0,,,Radial Velocity,309.47,
Kepler-49 b,1148,0.98,7.2037945,,M1 V,Primary Transit,314.02,0.243
Kepler-49 c,1149,0.72,10.9129343,,M1 V,Primary Transit,314.02,0.227
Kepler-5 b,632,2.111,3.5484657,0.0538,,Primary Transit,923.41,1.426
Kepler-50 b,1150,0.1,7.81254,0.077,,Primary Transit,251.91,0.153
Kepler-50 c,1151,0.11,9.37647,0.087,,Primary Transit,251.91,0.194
Kepler-51 b,1152,0.007,45.154,0.2514,,Primary Transit,801.76,0.633
Kepler-51 c,1153,0.013,85.312,0.384,,Primary Transit,801.76,0.803
Kepler-51 d,1498,0.024,130.194,0.509,,Primary Transit,801.76,0.865
Kepler-52 b,1154,8.7,7.8773565,,M0 V,Primary Transit,324.54,0.187
Kepler-52 c,1155,10.41,16.3850021,,M0 V,Primary Transit,324.54,0.164
Kepler-538 b,3615,0.03335,81.73778,0.4669,,Primary Transit,156.66,0.198
Kepler-539 b,2394,0.97,125.63243,0.4988,G2 V,Primary Transit,310.01,0.747
Kepler-539 c,2395,2.4,1000.0,2.42,G2 V,TTV,310.01,
Kepler-54 b,1158,0.92,8.0109434,,M1 V,Primary Transit,273.8,0.187
Kepler-54 c,1159,0.37,12.0717249,,M1 V,Primary Transit,273.8,0.11
Kepler-55 b,1165,1.49,27.9481449,,,Primary Transit,588.47,0.217
Kepler-55 c,1166,1.11,42.1516418,,,Primary Transit,588.47,0.197
Kepler-56 b,1167,0.07,10.5016,0.1028,,Primary Transit,936.96,0.581
Kepler-56 c,1168,0.57,21.40239,0.1652,,Primary Transit,936.96,0.874
Kepler-57 c,1170,6.95,11.6092567,,,Primary Transit,656.23,0.138
Kepler-58 b,1171,1.39,10.2184954,,,Primary Transit,996.32,0.248
Kepler-58 c,1172,2.19,15.5741568,,,Primary Transit,996.32,0.255
Kepler-59 b,1173,2.05,11.8681707,0.112,,Primary Transit,1203.57,0.098
Kepler-59 c,1174,1.37,17.9801235,0.148,,Primary Transit,1203.57,0.177
Kepler-595 b,2658,0.05475,25.3029092,,,Primary Transit,639.0,0.331
Kepler-595 c,7664,0.01038,12.38602,,,Primary Transit,639.0,0.09
Kepler-6 b,633,0.668,3.2346996,0.04852,,Primary Transit,597.14,1.304
Kepler-60 b,1175,0.01318,7.1334,0.07497,,Primary Transit,1056.17,0.153
Kepler-60 c,1176,0.01211,8.9187,0.08701,,Primary Transit,1056.17,0.17
Kepler-60 d,1177,0.01309,11.8981,0.10548,,Primary Transit,1056.17,0.178
Kepler-62 b,1257,0.03,5.714932,0.0553,K2 V,Primary Transit,368.0,0.117
Kepler-62 c,1258,0.013,12.4417,0.0929,K2 V,Primary Transit,368.0,0.048
Kepler-62 d,1259,0.044,18.16406,0.12,K2 V,Primary Transit,368.0,0.174
Kepler-62 e,1260,0.113,122.3874,0.427,K2 V,Primary Transit,368.0,0.144
Kepler-62 f,1261,0.11,267.291,0.718,K2 V,Primary Transit,368.0,0.126
Kepler-63 b,1327,0.378,9.4341505,0.08,,Primary Transit,200.0,0.545
Kepler-64 (AB) b,1340,0.53,138.506,0.634,F+M,Primary Transit,,0.553
Kepler-65 d,1313,0.034,8.13123,0.084,B,Primary Transit,306.39,0.136
Kepler-65 e,7322,0.82,258.8,,B,Radial Velocity,306.39,
Kepler-66 b,1297,0.047,17.815815,0.1352,G0 V,Primary Transit,1107.0,0.25
Kepler-67 b,1298,0.047,15.7259,0.1171,G9 V,Primary Transit,1107.0,0.262
Kepler-68 b,1254,0.02407,5.3988,0.0617,,Primary Transit,144.77,0.206
Kepler-68 c,1255,0.00642,9.6051,0.09059,,Primary Transit,144.77,0.0827
Kepler-7 b,634,0.441,4.8854892,0.06067,,Primary Transit,947.46,1.622
Kepler-74 b,1128,0.63,7.340711,0.0781,F8 V,Primary Transit,1218.33,0.96
Kepler-75 b,1267,10.1,8.8849116,0.0818,K0 V,Primary Transit,855.5,1.05
Kepler-76 b,1306,2.01,1.5449298,0.0274,F,Other,842.87,1.36
Kepler-77 b,1374,0.43,3.57878087,0.04501,G5 V,Primary Transit,570.0,0.96
Kepler-78 b,1288,0.00619,0.35500744,0.01,G,Primary Transit,124.82,0.1
Kepler-79 b,1385,0.0343,13.4845,0.117,,Primary Transit,1051.43,0.31
Kepler-79 c,1386,0.019,27.4029,0.187,,Primary Transit,1051.43,0.332
Kepler-79 d,1387,0.019,52.0902,0.287,,Primary Transit,1051.43,0.639
Kepler-79 e,1388,0.013,81.0659,0.386,,Primary Transit,1051.43,0.311
Kepler-8 b,635,0.59,3.5224991,0.0474,,Primary Transit,1052.9,1.416
Kepler-80 b,1160,0.0218,7.05246,0.0648,K5,Primary Transit,357.0,0.238
Kepler-80 c,1161,0.02121,9.52355,0.0792,K5,Primary Transit,357.0,0.244
Kepler-80 d,1162,0.02124,3.07222,0.0372,K5,Primary Transit,357.0,0.136
Kepler-80 e,1163,0.01299,4.64489,0.0491,K5,Primary Transit,357.0,0.143
Kepler-82 b,1394,0.03823,26.44,0.1683,,Primary Transit,927.97,0.363
Kepler-82 c,1395,0.04373,51.54,0.2626,,Primary Transit,927.97,0.476
Kepler-82 f,7161,0.06576,75.732,0.3395,,TTV,927.97,
Kepler-85 b,1370,0.0465,8.306,0.07891,,Primary Transit,782.09,0.176
Kepler-85 c,1371,0.059,12.513,0.10369,,Primary Transit,782.09,0.194
Kepler-86 b,1406,0.34235,282.5254,0.824,,Primary Transit,,0.8466
Kepler-87 b,1232,1.02,114.73635,0.481,,Primary Transit,1277.88,1.204
Kepler-87 c,1233,0.02,191.2318,0.676,,Primary Transit,1277.88,0.548
Kepler-88 d,7181,3.05,1403.0,2.464,G6 V,Radial Velocity,339.0,
Kepler-89 b,1203,0.033,3.743208,0.05119,,Primary Transit,483.65,0.153
Kepler-89 c,1204,0.049,10.423648,0.1013,,Primary Transit,483.65,0.385
Kepler-89 d,1205,0.334,22.342989,0.1684,,Primary Transit,483.65,1.005
Kepler-89 e,1206,0.11,54.32031,0.3046,,Primary Transit,483.65,0.585
Kepler-9 b,741,0.13655,19.23891,0.143,,Primary Transit,614.0,0.74
Kepler-9 c,742,0.09408,38.9853,0.227,,Primary Transit,614.0,0.721
Kepler-9 d,743,0.016518264481,1.592851,0.0273,,Primary Transit,614.0,0.146
Kepler-91 b,1491,0.81,6.24658,0.0731,K3,Primary Transit,1344.56,1.367
Kepler-92 b,1346,0.202,13.749,,,Primary Transit,484.62,0.313
Kepler-92 c,1347,0.019,26.723,,,Primary Transit,484.62,0.232
Kepler-93 b,2275,0.0143,4.72674,0.053,,Primary Transit,96.18,0.14
Kepler-93 c,2489,3.0,1460.0,16.6,,Radial Velocity,96.18,
Kepler-94 b,2525,0.034,2.50806,,M0 V,Primary Transit,192.97,0.313
Kepler-94 c,2526,9.836,820.3,,M0 V,Radial Velocity,192.97,
Kepler-95 b,2529,0.041,11.5231,,,Primary Transit,451.38,0.305
Kepler-96 b,2490,0.027,16.2385,,,Primary Transit,123.32,0.238
Kepler-97 b,7380,0.011,2.58664,,G0V,Primary Transit,405.58,0.132
Kepler-97 c,7564,1.08,789.0,,G0V,Radial Velocity,405.58,
Kepler-98 b,7376,0.011,1.54168,,,Primary Transit,353.87,0.178
Kepler-99 b,7381,0.019,4.60358,,,Primary Transit,209.63,0.132
L 168-9 b,7276,0.0145,1.4015,0.02091,M1V,Primary Transit,25.15,0.124
L 98-59 b,6861,0.0013,2.2531136,0.02191,,Primary Transit,10.623,0.0758
L 98-59 c,6862,0.00698,3.6906777,0.0304,,Primary Transit,10.623,0.12356
L 98-59 d,6863,0.0061,7.4507245,0.0486,,Primary Transit,10.623,0.1357
L2 Pup b,6498,12.0,,2.0,M5,Imaging,64.0,
LHS 1140 b,6561,0.02196,24.736,0.0936,M4.5,Primary Transit,12.47,0.15407
LHS 1140 c,6796,0.00569,3.777931,0.02675,M4.5,Primary Transit,12.47,0.11437
LHS 1478 b,7810,0.00733,1.9495378,0.01848,M3.5V,Primary Transit,18.21,0.1106
LHS 1678 b,7996,0.00019,0.8602322,0.01251,M2V,Primary Transit,19.89,0.06209
LHS 1678 c,7997,0.00123,3.694237,0.0331,M2V,Primary Transit,19.89,0.08761
LHS 1815 b,7310,0.0132,3.81433,0.0404,,Primary Transit,29.87,0.09707
LKCA 15 b,1017,6.0,40000.0,15.7,K5V,Imaging,145.0,
LP 714-47 b,7534,0.0969,4.052037,0.0417,M0V,Primary Transit,52.7,0.419
LP 890-9 b,8385,0.0415,2.7299025,0.01875,,Primary Transit,32.33,0.1178
LP 890-9 c,8386,0.0796,8.457463,0.03984,,Primary Transit,32.33,0.12196
LTT 1445A b,7150,0.00903,5.3587657,0.03813,M,Primary Transit,6.9,0.11643
LTT 1445A c,7378,0.00485,3.1239035,0.0266,M,Primary Transit,6.9,0.10233
LTT 3780 b,7301,0.00982,0.7683881,0.012,M4V,Primary Transit,21.981,0.11883
LTT 3780 c,7302,0.0267,12.252048,0.077,M4V,Primary Transit,21.981,0.205
LTT 9779 b,7171,0.09225,0.792052,0.01679,G8,Primary Transit,80.6,0.4211
Lupus-TR-3 b,438,0.81,3.91405,0.0464,K1V,Other,,0.89
MASCARA-1 b,6599,3.7,2.14878,0.043,A8,Primary Transit,188.7,1.5
MASCARA-2 b/KELT-20 b,6589,3.518,3.4741085,0.0542,A2,Primary Transit,,1.83
MASCARA-3 b,7129,5.18,5.5514926,0.06971,F5,Primary Transit,96.79,1.272
MOA-2007-BLG-192L b,456,0.01,,0.66,M,Microlensing,700.0,
MOA-2007-BLG-400L b,503,1.71,,3.9,,Microlensing,6890.0,
MOA-2008-BLG-310L b,565,0.233,,1.25,,Microlensing,6000.0,
MOA-2008-BLG-379L b,1470,4.1,,3.3,,Microlensing,3600.0,
MOA-2009-BLG-266L b,679,0.0327,2780.0,3.2,,Microlensing,3040.0,
MOA-2009-BLG-319L b,750,0.208,,2.0,K,Microlensing,6100.0,
MOA-2009-BLG-387L b,815,2.6,1970.0,1.8,M,Microlensing,5700.0,
MOA-2010-BLG-073L b,1227,11.0,,1.21,M,Other,2800.0,
MOA-2010-BLG-117 b,6597,0.51,,2.9,,Microlensing,3400.0,
MOA-2010-BLG-328L b,1411,0.029,,0.92,M,Microlensing,810.0,
MOA-2010-BLG-353L b,2448,0.27,,1.72,M,Microlensing,6430.0,
MOA-2010-BLG-477L b,1127,1.4,,2.8,WD,Microlensing,2300.0,
MOA-2011-BLG-028L b,2521,0.094,,7.14,,Microlensing,7380.0,
MOA-2011-BLG-262L b,1516,0.0566340496492,,0.84,,Microlensing,7350.0,
MOA-2011-BLG-274 b,2336,0.8,,40.0,,Microlensing,800.0,
MOA-2011-BLG-291 b,6762,0.085,,1.4,,Microlensing,7000.0,
MOA-2011-BLG-293L b,1055,4.8,,1.1,,Microlensing,7700.0,
MOA-2011-BLG-322L b,1412,7.8,,3.6,,Microlensing,7740.0,
MOA-2012-BLG-006 b,6559,8.4,,10.2,,Microlensing,5300.0,
MOA-2012-BLG-505L b,6558,6.7,,1.12,M,Microlensing,7210.0,
MOA-2013-BLG-220L b,2254,2.74,,3.03,,Microlensing,6720.0,
MOA-2013-BLG-605L b,2491,0.066,,4.2,,Microlensing,3600.0,
MOA-2014-BLG-472 b,7922,1.9,,0.96,,Microlensing,7200.0,
MOA-2015-BLG-337 a,7366,9.8,,0.24,,Microlensing,,
MOA-2015-BLG-337 b,7367,0.106,,0.24,,Microlensing,,
MOA-2016-BLG-227L b,6560,2.3,,1.64,,Microlensing,6400.0,
MOA-2016-BLG-231 b,7919,9.0,,0.88,,Microlensing,2850.0,
MOA-2016-BLG-319L b,6828,0.62,,0.95,,Microlensing,6800.0,
MOA-2020-BLG-135 b,8168,0.0356,,1.11,,Microlensing,7900.0,
MOA-2020-BLG-208 b,8426,0.2168,,2.88,,Microlensing,7490.0,
MOA-bin-1L b,1103,3.7,,8.3,,Microlensing,5100.0,
MOA-bin-29 b,7112,0.55,,1.13,,Microlensing,6900.0,
NGTS-1 b,6660,0.812,2.647298,0.0326,M05,Primary Transit,224.0,1.33
NGTS-10 b,7194,2.162,0.7668944,0.0143,K5V,Primary Transit,,1.205
NGTS-11 b,7403,0.37,35.455285,0.2,,Primary Transit,191.5,0.823
NGTS-12 b,7503,0.208,7.532806,0.0757,,Primary Transit,452.0,1.048
NGTS-13 b,7557,4.84,4.119027,0.0549,,Primary Transit,657.0,1.142
NGTS-14A b,7556,0.092,3.5357173,0.0403,K1V,Primary Transit,325.1,0.44
NGTS-15 b,7824,0.751,3.27623,0.0441,G6V,Primary Transit,791.0,1.1
NGTS-16 b,7825,0.667,4.84532,0.0523,G7V,Primary Transit,892.0,1.3
NGTS-17 b,7826,0.764,3.24253,0.0391,G4V,Primary Transit,1047.0,1.24
NGTS-18 b,7827,0.409,3.05125,0.0448,G5V,Primary Transit,1108.0,1.21
NGTS-2 b,6752,0.67,4.5111204,0.0584,F5V,Primary Transit,360.3,1.536
NGTS-20 b,8253,2.98,54.18915,0.313,G1IV,Primary Transit,366.2,1.07
NGTS-21 b,8425,2.36,1.5433897,0.0236,,Primary Transit,641.0,1.33
NGTS-3A b,6748,2.38,1.6753728,0.023,G9V,Primary Transit,1010.0,1.48
NGTS-4 b,6833,0.0648,1.3373508,0.019,,Primary Transit,282.6,0.2837
NGTS-5 b,7093,0.229,3.3569866,0.0382,K2V,Primary Transit,309.5,1.136
NGTS-6 b,7083,1.33,0.882058,0.016623018,,Primary Transit,311.0,1.271
NGTS-8 b,7207,0.93,2.4997,0.035,KOV,Primary Transit,434.273,1.09
NGTS-9 b,7208,2.9,4.43527,0.058,F8V,Primary Transit,619.732,1.07
NN Ser (AB) c,751,6.91,5660.0,5.38,WD+M,Pulsar,500.0,
NN Ser (AB) d,609,2.28,2830.0,3.39,WD+M,Pulsar,500.0,
OGLE-2009-BLG-151L b,1276,7.5,,0.31,,Microlensing,390.0,
NY Vir (AB) b,1030,2.78,2987.745,3.39,B D,Pulsar,,
NY Vir (AB) c,1031,4.49,9861.75,7.54,B D,Pulsar,,
OGLE--2018-BLG-0516 b,7899,0.0632,,2.2,,Microlensing,7000.0,
OGLE-2003-BLG-235L b,125,2.6,,5.1,,Microlensing,5200.0,
OGLE-2005-071L b,288,3.5,3600.0,3.6,,Microlensing,3300.0,
OGLE-2005-169L b,317,0.0444,,4.0,K5,Microlensing,4100.0,
OGLE-2005-390L b,315,0.017,3500.0,2.1,M,Microlensing,6500.0,
OGLE-2006-109L b,451,0.727,1790.0,2.3,,Microlensing,1510.0,
OGLE-2006-109L c,452,0.271,4931.0,4.5,,Microlensing,1510.0,
OGLE-2006-BLG-284 b,7406,0.453,,2.2,,Microlensing,4000.0,
OGLE-2007-BLG-349L (AB) b,4059,0.25,,2.59,,Microlensing,2760.0,
OGLE-2007-BLG-368L b,487,0.0694,,3.3,,Microlensing,5900.0,
OGLE-2008-BLG-092L A b,2300,0.18,,15.0,,Microlensing,7000.0,
OGLE-2008-BLG-355L b,2262,4.6,,1.7,,Microlensing,6800.0,
OGLE-2011-BLG-0173L b,6806,0.19,,10.0,,Microlensing,6200.0,
OGLE-2011-BLG-0251L b,1218,0.96,,3.86,,Microlensing,4090.0,
OGLE-2011-BLG-0265L b,2398,0.88,,1.89,,Microlensing,4380.0,
OGLE-2011-BLG-0420L b,1277,9.4,,0.19,,Microlensing,1990.0,
OGLE-2012-BLG-0026L b,1251,0.11,,3.82,,Microlensing,4080.0,
OGLE-2012-BLG-0026L c,1252,0.68,,4.63,,Microlensing,4080.0,
OGLE-2012-BLG-0358L b,1334,1.85,,0.87,,Microlensing,1760.0,
OGLE-2012-BLG-0406L b,1318,2.73,,3.45,,Microlensing,4970.0,
OGLE-2012-BLG-0563L b,2427,0.39,,0.74,,Microlensing,1300.0,
OGLE-2012-BLG-0724L b,2621,0.47,,1.6,M,Microlensing,6700.0,
OGLE-2012-BLG-0838 b,6992,0.25,,4.2,,Microlensing,6620.0,
OGLE-2012-BLG-0950L b,4003,0.11,,2.7,M,Microlensing,3000.0,
OGLE-2012-BLG-1323,6901,0.0072,,,,Microlensing,,
OGLE-2013-BLG-0102L b,2301,13.6,,0.8,,Microlensing,3020.0,
OGLE-2013-BLG-0132L b,6582,0.29,,3.6,,Microlensing,3900.0,
OGLE-2013-BLG-0341L b,2291,0.00522291791209,,0.702,,Microlensing,911.0,
OGLE-2013-BLG-0911L b,7247,10.08,,10.8,,Microlensing,3220.0,
OGLE-2013-BLG-1721L b,6583,0.64,,2.6,,Microlensing,6300.0,
OGLE-2013-BLG-1761L b,6554,2.8,,1.8,M/K,Microlensing,6900.0,
OGLE-2014-BLG-0124L b,2327,0.64,,3.48,,Microlensing,3600.0,
OGLE-2014-BLG-0319 b,8049,0.57,,3.49,,Microlensing,7730.0,
